Вартість (грн),Обрамлення,Потужність (л/г),Охоронний статус,Ступінь небезпеки,Матеріал,Лояльність клієнта,Статус проєкта
882.14,Коштовне,24.39,Не охороняється,Висока,Льон,2.67,Заблоковано
814.87,Просте,55.71,Вищий статус охорони,Висока,Скло,4.65,Узгоджено
1131.01,Стандартне,39.93,Невелике занепокоєння,Безпечний,Скло,3.8,Заблоковано
732.36,Просте,55.67,Не охороняється,Безпечний,Скло,2.12,Узгоджено
1030.77,Коштовне,35.44,Не охороняється,Помірна,Залізо,1.14,Заблоковано
688.04,Просте,30.0,Не охороняється,Помірна,Скло,5.69,Узгоджено
766.5,Коштовне,57.67,Не охороняється,Висока,Скло,1.65,Узгоджено
1029.9,Стандартне,55.17,Вищий статус охорони,Висока,Залізо,0.59,Заблоковано
1128.0,Коштовне,51.11,Вищий статус охорони,Висока,Скло,0.6,Заблоковано
1029.9,Коштовне,37.79,Невелике занепокоєння,Висока,Льон,2.97,Заблоковано
650.48,Просте,33.76,Вищий статус охорони,Помірна,Залізо,3.66,Узгоджено
963.68,Стандартне,43.97,Не охороняється,Висока,Льон,3.94,Заблоковано
809.66,Просте,30.86,Не охороняється,Помірна,Залізо,2.53,Узгоджено
1093.48,Просте,29.9,Не охороняється,Помірна,Поліпропілен,0.0,Заблоковано
937.19,Просте,27.63,Вищий статус охорони,Помірна,Скло,0.29,Заблоковано
630.72,Коштовне,70.13,Не охороняється,Безпечний,Скло,3.36,Узгоджено
954.94,Коштовне,51.2,Не охороняється,Безпечний,Поліпропілен,0.0,Заблоковано
717.75,Просте,61.64,Вищий статус охорони,Висока,Льон,2.51,Узгоджено
1226.17,Просте,39.3,Вищий статус охорони,Безпечний,Поліпропілен,2.72,Заблоковано
956.85,Стандартне,47.19,Невелике занепокоєння,Безпечний,Льон,2.04,Заблоковано
1245.84,Просте,48.52,Вищий статус охорони,Висока,Льон,0.92,Заблоковано
856.93,Стандартне,41.5,Не охороняється,Безпечний,Поліпропілен,0.0,Узгоджено
854.26,Коштовне,25.8,Невелике занепокоєння,Помірна,Залізо,3.85,Заблоковано
1056.62,Стандартне,43.08,Невелике занепокоєння,Помірна,Скло,5.46,Заблоковано
1171.43,Коштовне,52.36,Невелике занепокоєння,Помірна,Поліпропілен,0.19,Заблоковано
894.47,Коштовне,46.31,Вищий статус охорони,Висока,Поліпропілен,0.08,Узгоджено
1022.91,Просте,41.94,Не охороняється,Помірна,Льон,0.0,Заблоковано
868.81,Просте,42.86,Вищий статус охорони,Безпечний,Скло,1.74,Узгоджено
709.97,Коштовне,39.06,Не охороняється,Безпечний,Залізо,1.12,Узгоджено
1054.66,Коштовне,67.81,Не охороняється,Висока,Поліпропілен,4.25,Заблоковано
1332.75,Просте,55.18,Не охороняється,Безпечний,Поліпропілен,3.21,Заблоковано
849.27,Просте,49.14,Не охороняється,Безпечний,Скло,8.05,Узгоджено
593.04,Просте,69.99,Вищий статус охорони,Висока,Залізо,2.29,Узгоджено
825.91,Просте,64.05,Вищий статус охорони,Помірна,Поліпропілен,0.0,Узгоджено
759.86,Коштовне,52.48,Не охороняється,Помірна,Поліпропілен,1.41,Узгоджено
682.8,Стандартне,47.52,Вищий статус охорони,Безпечний,Льон,2.89,Узгоджено
635.97,Стандартне,46.35,Вищий статус охорони,Безпечний,Скло,2.18,Узгоджено
1086.87,Стандартне,39.52,Не охороняється,Висока,Льон,5.52,Заблоковано
808.13,Коштовне,53.18,Вищий статус охорони,Помірна,Поліпропілен,3.16,Узгоджено
609.13,Коштовне,27.17,Вищий статус охорони,Безпечний,Льон,3.21,Узгоджено
742.5,Просте,26.85,Вищий статус охорони,Висока,Поліпропілен,1.51,Узгоджено
810.92,Коштовне,59.94,Вищий статус охорони,Висока,Льон,1.41,Узгоджено
724.17,Просте,94.27,Не охороняється,Помірна,Скло,4.27,Узгоджено
518.76,Просте,40.13,Невелике занепокоєння,Безпечний,Льон,1.36,Узгоджено
1028.43,Коштовне,53.35,Вищий статус охорони,Безпечний,Скло,5.76,Заблоковано
743.17,Коштовне,53.29,Невелике занепокоєння,Безпечний,Поліпропілен,2.31,Узгоджено
946.03,Коштовне,46.82,Невелике занепокоєння,Помірна,Льон,3.21,Заблоковано
959.25,Просте,33.78,Невелике занепокоєння,Помірна,Скло,2.33,Заблоковано
982.54,Стандартне,6.59,Вищий статус охорони,Безпечний,Залізо,1.54,Заблоковано
970.28,Стандартне,27.52,Вищий статус охорони,Помірна,Льон,2.13,Заблоковано
776.87,Просте,47.8,Не охороняється,Висока,Льон,2.59,Узгоджено
605.57,Просте,62.38,Не охороняється,Помірна,Скло,0.0,Узгоджено
956.04,Просте,45.63,Невелике занепокоєння,Висока,Льон,0.68,Заблоковано
1055.15,Просте,5.73,Невелике занепокоєння,Помірна,Залізо,0.0,Заблоковано
789.68,Просте,45.59,Вищий статус охорони,Висока,Залізо,0.93,Узгоджено
949.52,Коштовне,45.29,Невелике занепокоєння,Висока,Залізо,3.09,Заблоковано
857.87,Просте,35.61,Невелике занепокоєння,Безпечний,Поліпропілен,0.04,Узгоджено
567.89,Просте,20.39,Невелике занепокоєння,Безпечний,Залізо,1.04,Узгоджено
999.59,Стандартне,64.94,Вищий статус охорони,Висока,Скло,1.71,Заблоковано
811.36,Просте,40.41,Невелике занепокоєння,Висока,Залізо,2.43,Узгоджено
962.52,Просте,47.94,Невелике занепокоєння,Висока,Залізо,0.29,Заблоковано
724.48,Коштовне,25.61,Невелике занепокоєння,Помірна,Поліпропілен,1.58,Узгоджено
1257.41,Коштовне,65.98,Вищий статус охорони,Висока,Залізо,3.42,Заблоковано
1044.66,Просте,20.8,Невелике занепокоєння,Висока,Поліпропілен,1.81,Заблоковано
859.18,Стандартне,51.25,Невелике занепокоєння,Висока,Скло,4.01,Узгоджено
818.96,Просте,17.65,Не охороняється,Висока,Льон,1.73,Заблоковано
831.14,Стандартне,49.1,Вищий статус охорони,Помірна,Поліпропілен,3.01,Узгоджено
1002.62,Просте,65.15,Вищий статус охорони,Висока,Поліпропілен,0.0,Заблоковано
978.73,Просте,47.24,Невелике занепокоєння,Висока,Льон,2.68,Заблоковано
1155.19,Просте,38.71,Невелике занепокоєння,Висока,Льон,5.99,Заблоковано
1299.88,Стандартне,34.27,Невелике занепокоєння,Висока,Залізо,4.53,Заблоковано
682.58,Просте,53.4,Невелике занепокоєння,Висока,Поліпропілен,0.94,Узгоджено
741.05,Стандартне,35.87,Невелике занепокоєння,Безпечний,Залізо,0.0,Узгоджено
847.44,Стандартне,63.52,Не охороняється,Висока,Скло,2.15,Узгоджено
1013.77,Просте,46.67,Не охороняється,Висока,Льон,3.68,Заблоковано
804.06,Просте,57.22,Не охороняється,Висока,Скло,5.12,Узгоджено
1101.18,Коштовне,49.3,Невелике занепокоєння,Безпечний,Залізо,5.38,Заблоковано
1015.79,Коштовне,38.24,Вищий статус охорони,Висока,Скло,3.29,Заблоковано
950.15,Стандартне,36.47,Вищий статус охорони,Помірна,Скло,0.0,Заблоковано
761.63,Стандартне,59.24,Вищий статус охорони,Помірна,Льон,4.05,Узгоджено
1050.85,Коштовне,35.92,Вищий статус охорони,Помірна,Залізо,3.58,Заблоковано
767.08,Стандартне,35.31,Не охороняється,Висока,Поліпропілен,0.3,Узгоджено
1014.88,Коштовне,50.87,Не охороняється,Безпечний,Поліпропілен,3.98,Заблоковано
1231.76,Стандартне,30.02,Не охороняється,Безпечний,Залізо,3.13,Заблоковано
699.29,Стандартне,37.67,Невелике занепокоєння,Помірна,Залізо,0.0,Узгоджено
1008.87,Коштовне,60.98,Вищий статус охорони,Безпечний,Поліпропілен,5.64,Заблоковано
731.97,Коштовне,43.47,Не охороняється,Безпечний,Залізо,1.19,Узгоджено
986.98,Просте,38.92,Не охороняється,Помірна,Поліпропілен,5.71,Заблоковано
832.52,Стандартне,41.11,Не охороняється,Безпечний,Поліпропілен,0.0,Узгоджено
785.62,Стандартне,64.19,Невелике занепокоєння,Помірна,Скло,3.59,Узгоджено
764.11,Просте,38.32,Не охороняється,Висока,Скло,3.68,Узгоджено
752.73,Стандартне,44.77,Вищий статус охорони,Помірна,Залізо,2.55,Узгоджено
870.72,Просте,30.5,Невелике занепокоєння,Безпечний,Скло,3.81,Заблоковано
1078.38,Коштовне,52.61,Вищий статус охорони,Висока,Скло,5.14,Заблоковано
803.8,Коштовне,28.47,Вищий статус охорони,Висока,Залізо,3.03,Узгоджено
1036.31,Стандартне,53.89,Невелике занепокоєння,Висока,Залізо,3.29,Заблоковано
890.81,Стандартне,38.44,Не охороняється,Помірна,Поліпропілен,3.49,Заблоковано
1059.59,Просте,34.33,Невелике занепокоєння,Висока,Поліпропілен,2.1,Заблоковано
655.23,Стандартне,39.06,Невелике занепокоєння,Помірна,Скло,5.2,Узгоджено
1109.81,Просте,48.05,Вищий статус охорони,Висока,Залізо,3.73,Заблоковано
835.03,Коштовне,65.78,Вищий статус охорони,Безпечний,Залізо,3.11,Узгоджено
1242.28,Просте,44.03,Не охороняється,Висока,Поліпропілен,3.04,Заблоковано
638.56,Стандартне,54.55,Вищий статус охорони,Помірна,Льон,3.29,Узгоджено
678.83,Просте,58.15,Невелике занепокоєння,Безпечний,Залізо,0.0,Узгоджено
709.54,Стандартне,68.83,Не охороняється,Безпечний,Поліпропілен,0.54,Узгоджено
954.94,Просте,39.81,Невелике занепокоєння,Висока,Поліпропілен,5.05,Заблоковано
878.76,Коштовне,37.89,Вищий статус охорони,Висока,Залізо,3.74,Заблоковано
705.72,Коштовне,35.56,Невелике занепокоєння,Помірна,Поліпропілен,0.03,Узгоджено
827.83,Коштовне,35.44,Невелике занепокоєння,Помірна,Льон,4.56,Узгоджено
687.13,Коштовне,17.18,Не охороняється,Безпечний,Скло,2.27,Узгоджено
477.11,Коштовне,70.15,Не охороняється,Висока,Поліпропілен,0.61,Узгоджено
806.44,Коштовне,58.76,Невелике занепокоєння,Висока,Поліпропілен,0.0,Узгоджено
1064.65,Просте,33.3,Не охороняється,Безпечний,Залізо,3.79,Заблоковано
601.83,Просте,38.84,Невелике занепокоєння,Висока,Поліпропілен,4.15,Узгоджено
923.19,Просте,57.17,Не охороняється,Безпечний,Залізо,0.52,Узгоджено
1440.7,Просте,41.53,Невелике занепокоєння,Помірна,Льон,0.17,Заблоковано
1089.47,Стандартне,45.28,Не охороняється,Висока,Скло,3.92,Заблоковано
904.6,Просте,35.23,Невелике занепокоєння,Висока,Льон,0.28,Заблоковано
855.54,Стандартне,42.75,Невелике занепокоєння,Висока,Льон,1.46,Узгоджено
860.38,Коштовне,48.34,Невелике занепокоєння,Висока,Льон,0.0,Узгоджено
620.53,Коштовне,36.33,Не охороняється,Висока,Поліпропілен,3.85,Узгоджено
782.58,Просте,52.71,Вищий статус охорони,Висока,Залізо,4.71,Узгоджено
812.48,Стандартне,51.37,Не охороняється,Безпечний,Скло,2.45,Узгоджено
682.13,Стандартне,51.93,Не охороняється,Помірна,Скло,2.3,Узгоджено
735.89,Просте,41.98,Вищий статус охорони,Помірна,Льон,0.32,Узгоджено
904.52,Стандартне,50.25,Не охороняється,Помірна,Скло,6.26,Узгоджено
906.45,Коштовне,37.9,Невелике занепокоєння,Безпечний,Залізо,4.82,Заблоковано
1209.83,Коштовне,41.44,Невелике занепокоєння,Помірна,Льон,6.66,Заблоковано
889.06,Коштовне,56.22,Невелике занепокоєння,Безпечний,Поліпропілен,1.24,Узгоджено
1049.82,Стандартне,42.53,Вищий статус охорони,Безпечний,Льон,5.75,Заблоковано
1024.27,Коштовне,53.78,Невелике занепокоєння,Помірна,Льон,5.31,Заблоковано
881.83,Просте,32.34,Невелике занепокоєння,Безпечний,Льон,0.81,Заблоковано
1011.45,Стандартне,40.69,Не охороняється,Помірна,Залізо,0.39,Заблоковано
973.15,Просте,66.26,Невелике занепокоєння,Безпечний,Залізо,3.91,Заблоковано
825.12,Стандартне,49.55,Невелике занепокоєння,Висока,Скло,9.97,Узгоджено
962.04,Стандартне,38.91,Невелике занепокоєння,Помірна,Залізо,3.57,Заблоковано
733.34,Стандартне,16.77,Вищий статус охорони,Помірна,Залізо,1.27,Узгоджено
924.57,Коштовне,33.4,Невелике занепокоєння,Висока,Льон,4.88,Заблоковано
985.58,Коштовне,47.66,Не охороняється,Помірна,Залізо,0.0,Заблоковано
921.51,Просте,62.01,Не охороняється,Безпечний,Поліпропілен,0.0,Узгоджено
1318.78,Просте,44.2,Невелике занепокоєння,Висока,Залізо,4.33,Заблоковано
665.08,Стандартне,48.88,Не охороняється,Безпечний,Залізо,3.28,Узгоджено
721.99,Просте,62.75,Не охороняється,Висока,Поліпропілен,0.05,Узгоджено
965.84,Просте,43.96,Не охороняється,Висока,Поліпропілен,4.01,Заблоковано
701.71,Просте,32.04,Невелике занепокоєння,Безпечний,Поліпропілен,0.96,Узгоджено
869.16,Коштовне,66.41,Невелике занепокоєння,Висока,Скло,3.79,Узгоджено
1003.12,Стандартне,37.04,Невелике занепокоєння,Безпечний,Залізо,2.07,Заблоковано
877.61,Коштовне,45.07,Невелике занепокоєння,Безпечний,Поліпропілен,0.0,Узгоджено
957.03,Просте,28.82,Невелике занепокоєння,Безпечний,Скло,3.26,Заблоковано
914.59,Стандартне,49.41,Вищий статус охорони,Помірна,Льон,5.93,Заблоковано
962.92,Стандартне,39.8,Невелике занепокоєння,Помірна,Поліпропілен,0.0,Заблоковано
623.52,Стандартне,38.61,Невелике занепокоєння,Помірна,Скло,2.18,Узгоджено
1016.37,Коштовне,77.6,Невелике занепокоєння,Помірна,Залізо,0.0,Заблоковано
953.22,Коштовне,34.01,Вищий статус охорони,Помірна,Скло,0.0,Заблоковано
872.67,Стандартне,16.1,Не охороняється,Помірна,Поліпропілен,1.75,Заблоковано
816.17,Коштовне,38.91,Невелике занепокоєння,Помірна,Скло,0.0,Узгоджено
712.29,Коштовне,45.19,Вищий статус охорони,Помірна,Поліпропілен,2.64,Узгоджено
554.27,Стандартне,40.95,Невелике занепокоєння,Безпечний,Скло,1.08,Узгоджено
587.55,Коштовне,53.76,Невелике занепокоєння,Безпечний,Скло,5.81,Узгоджено
1175.82,Коштовне,52.12,Невелике занепокоєння,Висока,Скло,2.28,Заблоковано
928.63,Просте,52.77,Не охороняється,Безпечний,Поліпропілен,0.5,Заблоковано
633.87,Коштовне,33.17,Вищий статус охорони,Безпечний,Залізо,6.73,Узгоджено
848.08,Коштовне,24.39,Невелике занепокоєння,Помірна,Льон,2.86,Заблоковано
704.68,Стандартне,33.77,Вищий статус охорони,Помірна,Залізо,2.58,Узгоджено
882.52,Просте,51.22,Невелике занепокоєння,Помірна,Льон,4.9,Узгоджено
814.65,Коштовне,53.25,Вищий статус охорони,Помірна,Льон,0.63,Узгоджено
1115.81,Стандартне,36.13,Вищий статус охорони,Помірна,Льон,4.33,Заблоковано
786.8,Стандартне,60.47,Вищий статус охорони,Безпечний,Залізо,3.08,Узгоджено
831.54,Просте,31.22,Невелике занепокоєння,Помірна,Поліпропілен,4.09,Узгоджено
899.99,Коштовне,47.0,Не охороняється,Висока,Скло,0.54,Заблоковано
815.86,Стандартне,42.99,Невелике занепокоєння,Безпечний,Скло,2.71,Узгоджено
853.05,Коштовне,51.92,Не охороняється,Висока,Льон,3.74,Узгоджено
793.58,Стандартне,29.23,Вищий статус охорони,Висока,Льон,2.52,Узгоджено
983.39,Стандартне,58.55,Не охороняється,Висока,Поліпропілен,1.77,Заблоковано
1091.82,Стандартне,33.87,Вищий статус охорони,Помірна,Поліпропілен,0.41,Заблоковано
940.68,Просте,38.45,Вищий статус охорони,Висока,Поліпропілен,0.0,Заблоковано
895.96,Коштовне,13.95,Вищий статус охорони,Висока,Залізо,2.18,Заблоковано
760.18,Просте,66.38,Вищий статус охорони,Висока,Поліпропілен,0.1,Узгоджено
1115.62,Просте,16.1,Вищий статус охорони,Висока,Льон,3.21,Заблоковано
748.66,Коштовне,56.44,Вищий статус охорони,Помірна,Льон,1.51,Узгоджено
596.37,Стандартне,38.68,Невелике занепокоєння,Помірна,Скло,5.88,Узгоджено
1351.77,Коштовне,54.04,Не охороняється,Безпечний,Поліпропілен,1.5,Заблоковано
940.61,Просте,43.77,Невелике занепокоєння,Помірна,Поліпропілен,3.58,Заблоковано
994.09,Стандартне,37.26,Невелике занепокоєння,Безпечний,Залізо,0.87,Заблоковано
830.39,Просте,40.74,Не охороняється,Безпечний,Поліпропілен,0.0,Узгоджено
990.73,Коштовне,37.52,Не охороняється,Помірна,Льон,4.47,Заблоковано
767.86,Просте,69.73,Вищий статус охорони,Помірна,Льон,3.7,Узгоджено
997.83,Просте,83.74,Вищий статус охорони,Висока,Льон,1.73,Узгоджено
882.52,Просте,46.96,Не охороняється,Висока,Поліпропілен,2.16,Узгоджено
1319.53,Коштовне,61.32,Вищий статус охорони,Помірна,Скло,4.16,Заблоковано
947.72,Коштовне,60.11,Вищий статус охорони,Помірна,Залізо,2.7,Заблоковано
580.0,Коштовне,61.13,Не охороняється,Висока,Льон,3.83,Узгоджено
611.87,Просте,49.51,Вищий статус охорони,Помірна,Поліпропілен,3.15,Узгоджено
895.55,Коштовне,63.98,Невелике занепокоєння,Безпечний,Поліпропілен,4.08,Узгоджено
612.31,Просте,58.76,Не охороняється,Висока,Льон,5.19,Узгоджено
774.17,Стандартне,17.52,Вищий статус охорони,Висока,Поліпропілен,5.84,Узгоджено
771.82,Стандартне,34.84,Невелике занепокоєння,Висока,Льон,5.99,Узгоджено
827.34,Просте,43.5,Вищий статус охорони,Безпечний,Скло,3.96,Узгоджено
966.65,Просте,23.92,Вищий статус охорони,Безпечний,Поліпропілен,1.08,Заблоковано
1114.17,Просте,41.37,Невелике занепокоєння,Безпечний,Скло,2.84,Заблоковано
835.46,Стандартне,36.83,Вищий статус охорони,Висока,Скло,6.36,Узгоджено
890.94,Просте,24.12,Вищий статус охорони,Висока,Залізо,1.66,Заблоковано
881.62,Стандартне,32.5,Не охороняється,Помірна,Залізо,1.57,Заблоковано
676.84,Стандартне,17.11,Вищий статус охорони,Помірна,Льон,4.44,Узгоджено
589.54,Просте,40.81,Невелике занепокоєння,Помірна,Поліпропілен,2.99,Узгоджено
914.07,Просте,63.75,Не охороняється,Безпечний,Льон,1.61,Узгоджено
1163.16,Коштовне,27.77,Не охороняється,Помірна,Залізо,0.71,Заблоковано
881.16,Стандартне,60.54,Невелике занепокоєння,Помірна,Льон,1.59,Узгоджено
807.49,Просте,23.23,Вищий статус охорони,Помірна,Скло,2.8,Узгоджено
849.79,Коштовне,46.12,Невелике занепокоєння,Помірна,Залізо,3.61,Узгоджено
1085.69,Стандартне,36.71,Не охороняється,Безпечний,Залізо,4.38,Заблоковано
812.54,Просте,39.02,Не охороняється,Помірна,Скло,4.35,Узгоджено
785.03,Стандартне,64.64,Не охороняється,Безпечний,Скло,0.96,Узгоджено
1082.56,Коштовне,23.18,Невелике занепокоєння,Безпечний,Скло,3.86,Заблоковано
1106.32,Стандартне,54.79,Вищий статус охорони,Помірна,Скло,0.0,Заблоковано
1414.04,Стандартне,60.02,Не охороняється,Безпечний,Залізо,4.26,Заблоковано
655.9,Коштовне,7.13,Не охороняється,Безпечний,Залізо,0.65,Узгоджено
1440.7,Коштовне,26.29,Вищий статус охорони,Безпечний,Поліпропілен,2.05,Заблоковано
704.56,Просте,41.01,Невелике занепокоєння,Висока,Скло,0.0,Узгоджено
1105.75,Стандартне,31.09,Невелике занепокоєння,Безпечний,Поліпропілен,0.82,Заблоковано
629.4,Стандартне,34.42,Не охороняється,Безпечний,Льон,0.83,Узгоджено
589.54,Стандартне,7.72,Невелике занепокоєння,Помірна,Залізо,1.47,Узгоджено
1127.04,Просте,53.57,Вищий статус охорони,Помірна,Льон,0.0,Заблоковано
865.52,Стандартне,44.78,Не охороняється,Безпечний,Поліпропілен,1.1,Узгоджено
1209.83,Просте,44.57,Не охороняється,Безпечний,Льон,1.34,Заблоковано
813.13,Стандартне,21.03,Невелике занепокоєння,Висока,Залізо,1.5,Узгоджено
849.34,Просте,48.59,Невелике занепокоєння,Висока,Залізо,0.0,Узгоджено
681.28,Коштовне,36.99,Невелике занепокоєння,Безпечний,Льон,3.64,Узгоджено
1142.71,Стандартне,38.65,Вищий статус охорони,Безпечний,Льон,7.52,Заблоковано
764.11,Просте,34.59,Вищий статус охорони,Висока,Скло,2.52,Узгоджено
919.73,Просте,51.07,Вищий статус охорони,Безпечний,Залізо,0.0,Заблоковано
881.83,Коштовне,35.48,Невелике занепокоєння,Помірна,Залізо,3.34,Заблоковано
746.58,Просте,34.86,Вищий статус охорони,Помірна,Залізо,4.07,Узгоджено
971.98,Просте,30.65,Не охороняється,Помірна,Залізо,0.0,Заблоковано
866.92,Просте,63.57,Вищий статус охорони,Висока,Скло,2.47,Узгоджено
761.78,Коштовне,7.81,Не охороняється,Безпечний,Льон,0.11,Узгоджено
891.35,Просте,62.99,Не охороняється,Безпечний,Поліпропілен,2.15,Узгоджено
1108.61,Стандартне,64.64,Не охороняється,Безпечний,Залізо,2.86,Заблоковано
1271.12,Стандартне,71.41,Не охороняється,Безпечний,Льон,6.76,Заблоковано
820.32,Просте,30.25,Вищий статус охорони,Помірна,Залізо,5.71,Узгоджено
995.3,Стандартне,27.22,Невелике занепокоєння,Помірна,Льон,4.55,Заблоковано
984.96,Стандартне,57.37,Невелике занепокоєння,Безпечний,Поліпропілен,2.11,Заблоковано
1026.06,Коштовне,62.25,Невелике занепокоєння,Висока,Льон,4.59,Заблоковано
1126.82,Просте,57.33,Невелике занепокоєння,Помірна,Поліпропілен,6.1,Заблоковано
700.29,Просте,39.19,Вищий статус охорони,Безпечний,Залізо,7.09,Узгоджено
908.68,Просте,28.78,Вищий статус охорони,Висока,Льон,3.65,Заблоковано
726.91,Стандартне,51.91,Вищий статус охорони,Безпечний,Залізо,0.43,Узгоджено
986.04,Коштовне,67.82,Не охороняється,Помірна,Льон,0.41,Заблоковано
949.52,Просте,31.01,Не охороняється,Помірна,Скло,1.81,Заблоковано
803.75,Просте,21.65,Невелике занепокоєння,Помірна,Скло,1.45,Узгоджено
694.51,Коштовне,58.4,Не охороняється,Помірна,Поліпропілен,1.77,Узгоджено
981.22,Коштовне,31.26,Вищий статус охорони,Висока,Поліпропілен,2.48,Заблоковано
835.54,Просте,74.21,Вищий статус охорони,Безпечний,Поліпропілен,0.0,Узгоджено
810.5,Коштовне,40.3,Вищий статус охорони,Безпечний,Залізо,2.1,Узгоджено
956.85,Коштовне,44.65,Невелике занепокоєння,Помірна,Поліпропілен,6.61,Заблоковано
910.82,Стандартне,42.54,Невелике занепокоєння,Висока,Залізо,0.0,Заблоковано
843.15,Просте,34.33,Вищий статус охорони,Висока,Поліпропілен,4.78,Узгоджено
542.98,Коштовне,43.42,Невелике занепокоєння,Висока,Залізо,2.44,Узгоджено
576.57,Коштовне,48.54,Не охороняється,Помірна,Скло,3.99,Узгоджено
932.99,Просте,24.53,Вищий статус охорони,Безпечний,Скло,0.44,Заблоковано
846.54,Просте,42.1,Невелике занепокоєння,Висока,Залізо,3.1,Узгоджено
638.66,Просте,43.41,Невелике занепокоєння,Безпечний,Льон,3.32,Узгоджено
786.84,Стандартне,53.28,Вищий статус охорони,Висока,Поліпропілен,3.9,Узгоджено
883.19,Просте,39.02,Вищий статус охорони,Висока,Скло,3.42,Заблоковано
832.69,Просте,58.04,Не охороняється,Помірна,Поліпропілен,5.37,Узгоджено
893.85,Коштовне,62.69,Вищий статус охорони,Помірна,Льон,1.98,Узгоджено
793.94,Просте,30.08,Невелике занепокоєння,Безпечний,Поліпропілен,1.9,Узгоджено
1318.78,Стандартне,67.89,Невелике занепокоєння,Помірна,Залізо,0.0,Заблоковано
890.17,Стандартне,45.82,Невелике занепокоєння,Безпечний,Льон,1.62,Узгоджено
756.21,Коштовне,60.69,Не охороняється,Висока,Скло,4.3,Узгоджено
1199.7,Стандартне,30.48,Невелике занепокоєння,Висока,Скло,1.65,Заблоковано
766.16,Коштовне,69.61,Невелике занепокоєння,Помірна,Льон,1.85,Узгоджено
703.3,Коштовне,27.37,Вищий статус охорони,Помірна,Скло,1.2,Узгоджено
841.33,Просте,48.63,Невелике занепокоєння,Помірна,Поліпропілен,2.62,Узгоджено
1149.97,Коштовне,20.39,Вищий статус охорони,Безпечний,Скло,3.95,Заблоковано
967.66,Коштовне,38.91,Вищий статус охорони,Помірна,Залізо,1.87,Заблоковано
1025.21,Стандартне,55.24,Вищий статус охорони,Висока,Поліпропілен,2.61,Заблоковано
850.08,Стандартне,56.2,Вищий статус охорони,Висока,Льон,1.05,Узгоджено
904.06,Просте,28.48,Вищий статус охорони,Безпечний,Поліпропілен,3.33,Заблоковано
624.59,Коштовне,42.77,Вищий статус охорони,Помірна,Залізо,6.06,Узгоджено
999.09,Коштовне,32.07,Невелике занепокоєння,Помірна,Залізо,3.18,Заблоковано
1054.39,Просте,36.99,Вищий статус охорони,Безпечний,Скло,0.0,Заблоковано
1315.37,Стандартне,52.54,Невелике занепокоєння,Помірна,Скло,3.21,Заблоковано
800.91,Просте,71.36,Невелике занепокоєння,Безпечний,Скло,1.73,Узгоджено
1060.27,Стандартне,35.48,Не охороняється,Безпечний,Поліпропілен,1.13,Заблоковано
717.51,Просте,55.55,Невелике занепокоєння,Висока,Скло,2.86,Узгоджено
1129.28,Стандартне,34.84,Не охороняється,Висока,Льон,2.96,Заблоковано
1048.05,Коштовне,55.47,Не охороняється,Висока,Залізо,4.01,Заблоковано
1023.01,Стандартне,36.92,Вищий статус охорони,Висока,Залізо,3.83,Заблоковано
729.57,Просте,39.76,Вищий статус охорони,Помірна,Поліпропілен,2.47,Узгоджено
805.21,Стандартне,58.94,Не охороняється,Висока,Залізо,7.14,Узгоджено
965.22,Просте,57.89,Вищий статус охорони,Помірна,Скло,5.33,Заблоковано
802.42,Стандартне,33.39,Вищий статус охорони,Помірна,Льон,0.97,Узгоджено
820.58,Просте,49.09,Не охороняється,Висока,Скло,2.43,Узгоджено
918.4,Просте,17.43,Вищий статус охорони,Безпечний,Поліпропілен,2.93,Заблоковано
954.3,Просте,54.06,Вищий статус охорони,Висока,Скло,4.75,Заблоковано
991.22,Коштовне,37.73,Вищий статус охорони,Помірна,Залізо,2.86,Заблоковано
859.88,Коштовне,50.54,Невелике занепокоєння,Помірна,Залізо,5.4,Узгоджено
907.63,Коштовне,35.03,Вищий статус охорони,Безпечний,Залізо,2.56,Заблоковано
643.04,Коштовне,14.46,Вищий статус охорони,Помірна,Скло,3.92,Узгоджено
1050.55,Стандартне,44.77,Вищий статус охорони,Помірна,Поліпропілен,3.42,Заблоковано
1023.38,Стандартне,64.7,Не охороняється,Висока,Льон,0.0,Заблоковано
997.52,Коштовне,77.07,Вищий статус охорони,Висока,Залізо,0.0,Заблоковано
701.71,Коштовне,28.18,Не охороняється,Висока,Поліпропілен,0.51,Узгоджено
914.69,Стандартне,38.04,Вищий статус охорони,Висока,Залізо,0.0,Заблоковано
799.24,Просте,49.49,Вищий статус охорони,Безпечний,Скло,1.15,Узгоджено
902.67,Коштовне,97.62,Не охороняється,Помірна,Скло,3.41,Узгоджено
679.92,Коштовне,18.53,Не охороняється,Висока,Льон,6.24,Узгоджено
1244.89,Стандартне,70.93,Невелике занепокоєння,Помірна,Льон,0.71,Заблоковано
980.03,Стандартне,37.55,Не охороняється,Безпечний,Залізо,3.71,Заблоковано
1187.91,Стандартне,49.23,Вищий статус охорони,Помірна,Залізо,4.25,Заблоковано
790.51,Стандартне,31.88,Не охороняється,Помірна,Льон,4.31,Узгоджено
635.3,Стандартне,65.07,Невелике занепокоєння,Безпечний,Залізо,3.61,Узгоджено
1500.8,Коштовне,74.53,Вищий статус охорони,Помірна,Скло,1.62,Заблоковано
832.69,Стандартне,38.11,Не охороняється,Висока,Скло,7.17,Узгоджено
